Variable,R2,FstatP,VarType,Sign,Drop,Field Name,Description,Values,Notes,Drop VarName
HWCOLONOSCOPY,1.84E-05,0.212794673,numeric,Positive,No,Health Rank - Colonoscopy,Indicates the propensity of adult individuals over 50 likely to get a colonoscopy. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWPSATEST2,4.98E-05,0.197142183,numeric,Positive,No,Health Rank - PSA Test,Indicates the propensity of men over 50 likely to have a PSA test in the last two years. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 2.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWBLOODSTOOLKIT,-1.74E-05,0.490583391,numeric,Negative,No,Health Rank - Stool Test,Indicates the propensity of an individual of having a blood stool test. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
FILLER.4,NA,NA,Other,NA,Yes,#N/A,#N/A,#N/A,,
HWEXERCISE,0.001492794,1.22E-11,numeric,Positive,No,Health Rank - Not Exercise,Indicates the propensity of an individuals likelihood to not exercise. The value of 0 indicates a high likelihood to not exercise and a 9 indicates a low likelihood.  Lowest rank for targeted select is 5.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWSMOKER,0.014401722,4.00E-97,numeric,Positive,No,Health Rank - Smoker,Indicates the propensity of an individual's likelihood to be a current smoker. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood.  Lowest rank for targeted select is 2.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWBMI,0.006567184,3.11E-45,numeric,Positive,No,Health Rank - BMI,Indicates the individual's estimated body mass index (BMI). The value of 0 indicates a high BMI and a 9 indicates a low BMI. Lowest rank for targeted select is 4.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWALCOHOL,0.000606396,1.15E-05,numeric,Positive,No,Health Rank - Alcohol,Indicates the estimated alcohol consumption for an individual. The value of 0 indicates a high consumption and a 9 indicates a low consumption. Lowest rank for targeted select is 5.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWBINGE,0.002867631,8.91E-21,numeric,Positive,No,Health Rank - Binge Drinker,Indicates the propensity of an individual to be a binge drinker. The value of 0 indicates an individual is likely to be a binge drinker and a 9 indicates a low likelihood. Lowest rank for targeted select is 5.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWALCHODRIVE,0.002463614,4.25E-18,numeric,Positive,No,Health Rank - Drink And Drive,Indicates the propensity of an individual to drink and drive. The value of 0 indicates an individual is likely to drink and drive and a 9 indicates a low likelihood. Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWDIET,0.006567184,3.11E-45,numeric,Positive,No,Health Rank - Diet Behaviors,Indicates the propensity of an individual to have diet interests. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood.  Lowest rank for targeted select is 6.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWSLEEP,0.003199714,5.64E-23,numeric,Positive,No,Health Rank - Sleep,Indicates the propensity of an individual to have sleep issues. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWRISKYHEALTH,0.005293221,8.13E-37,numeric,Positive,No,Health Rank - Risky Health Behaviors,Indicates the propensity of an individual to engage in risky health behaviors. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 3.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWSEATBELT,0.003579858,1.72E-25,numeric,Positive,No,Health Rank - Seatbelts,Indicates the propensity of an individual to not wear a seatbelt. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWSMOKEQUIT,0.013473554,5.83E-91,numeric,Positive,No,Health Rank - Quit Smoking,Indicates the propensity of an individual to attempt to quit smoking. The value of 0 indicates an a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 2.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWHEALTHINSNO,0.008069021,3.68E-55,numeric,Positive,No,Health Rank - No Health Insurance,Indicates the propensity of an individual to not have health insurance. The value of 0 indicates  a high likelihood and a 9 indicates a low likelihood.  Lowest rank for targeted select is 4.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWATPHEALTH,0.010192278,3.29E-69,numeric,Positive,No,Health Rank - Medical Payments,Indicates the propensity of an individual having difficulty paying for medical treatment. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 4.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWCAREGIVER,0.001766691,1.82E-13,numeric,Positive,No,Health Rank - Caregiver In Home,Indicates the propensity of an individual likely to have a caregiver in the home. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 1.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWMULTIPCP,0.000361988,0.000563923,numeric,Negative,No,Health Rank - Multiple Physicians,Indicates the propensity of an individual to have multiple primary care physicians. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 4.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWPERSDOCNO,0.00402081,2.09E-28,numeric,Positive,No,Health Rank - No Physician,Indicates the propensity of an individual to not have a personal physician. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 5.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWMEDADVANTAGE,0.015751488,4.64E-86,numeric,Positive,No,Health Rank - Medicare Advantage,Indicates the propensity of an individual aged 64 or older to respond to a Medicare Advantage plan offer. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 5.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWMEDSUPP,0.00089801,1.78E-06,numeric,Negative,No,Health Rank - Medicare Supplement,Indicates the propensity of an individual aged 64 or older to respond to a Medicare supplement insurance offer. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood. Lowest rank for targeted select is 5.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWCOPD,0.005229458,2.15E-36,numeric,Positive,No,Health Rank - COPD,"Indicates the propensity of an individual getting COPD, Chronic Obstruction Pulmonary Disease. The value of 0 indicates a high likelihood and a 9 indicates a low likelihood.","0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
HWFOODDESERT,0.000723013,1.31E-07,categorical,Not Applicable,No,Health Rank - Food Desert, Indicates if the individual lives in census tract with limited access to affordable and nutritious food. Values are Y and N. ,"Yes = Y
No = N",,
DIMINF,0.004722862,2.26E-43,categorical,Not Applicable,No,MotiveMix - Influence,"Groups individuals into a low/medium/high scale of influence. High Influence is defined as being among the first to try new things, being regularly asked for one's opinion on new brands and products, and using social-media for self-expression.","H - High
M - Medium 
L - Low",,
DIMFINO,0.008908031,6.02E-81,categorical,Not Applicable,No,MotiveMix - Financial Optimism,Groups individuals into a low/medium/high scale of financial optimism. High financial optimism is defined as feeling in control of ones financial future and feeling able to spend their money in the marketplace.,"H - High
M - Medium 
L - Low",,
DIMTECH,0.001600726,1.91E-15,categorical,Not Applicable,No,MotiveMix - Tech Disposition,"Groups individuals into a low/medium/high scale of wanting digital and technology solutions to replace analog approaches. High tech disposition is defined as wanting to use mobile devices to run/manage life, regularly upgrading technology and preferring text communication to live communication.","H - High
M - Medium 
L - Low",,
DIMSOCCN,0.000665703,4.24E-07,categorical,Not Applicable,No,MotiveMix - Social Consciousness,Groups individuals into a low/medium/high scale of desire and awareness to do good in their local community. High Social Consciousness is defined as being involved in your community and volunteering time or money to charities.," H - High 
 M - Medium 
 L - Low",,
DIMSUCAS,0.000406732,8.67E-05,categorical,Not Applicable,No,MotiveMix - Success Aspirations,Groups individuals into a low/medium/high scale of ambition for success. High Success Aspirations is defined as always striving for excellence and being motivated to reach your full potential.," H - High 
 M - Medium 
 L - Low",,
DIMCEXP,0.000813019,2.06E-08,categorical,Not Applicable,No,MotiveMix - Cultural Exploration,Groups individuals into a low/medium/high scale of openness to diverse cultural influences. High cultural exploration is defined as seeking out different cultural experiences and acknowledging the influence of other cultures on one's lifestyle choices.,"H - High
M - Medium 
L - Low",,
DIMLEARN,0.000530412,6.84E-06,categorical,Not Applicable,No,MotiveMix - Continuous Learning,Groups individuals into a low/medium/high scale of desire to learn new skills and knowledge. High continuous learning is defined as seeking out classes and workshops in one's free time and an interest in additional educational opportunities.,"H - High
M - Medium 
L - Low ",,
DIMCUL,0.002125181,3.94E-20,categorical,Not Applicable,No,MotiveMix - Cultural Identity Connection,Groups individuals into a low/medium/high scale of connection with and prioritization of one's culture and heritage. High cultural connection is defined as considering one's cultural background a critical component of personal identity and wanting more ways to show pride in-and engage with-one's cultural heritage. ,"H - High
M - Medium 
L - Low ",,
DIMFAM,0.000374155,0.000169377,categorical,Not Applicable,No,MotiveMix - Family Orientation,"Groups individuals into a low/medium/high scale of connection with and prioritization of one's family. High family orientation is defined as being willing to make sacrifices for the betterment of family and seeing family members (children, spouses) as components of personal identity.","H - High
M - Medium 
L - Low ",,
DIMNOV,0.003040079,2.61E-28,categorical,Not Applicable,No,MotiveMix - Novelty Aspirations,"Groups individuals into a low/medium/high scale of desire for novelty and excitement. High novelty aspiration is defined as seeking out new experiences and sensations, and being willing to take chances in life.","H - High
M - Medium 
L - Low ",,
DIMREL,0.001875409,6.72E-18,categorical,Not Applicable,No,MotiveMix - Religiosity,Groups individuals into a low/medium/high scale of connection with and prioritization of religious beliefs. High religiosity is defined as seeing religion as an important part of one's identity and placing faith in God or a higher power.,"H - High
M - Medium 
L - Low ",,
DIMNAT,0.000684552,2.88E-07,categorical,Not Applicable,No,MotiveMix - Natural Preferences,Groups individuals into a low/medium/high scale of preference of using natural materials,"H - High
M - Medium 
L - Low ",,
DIMENV,0.00176711,6.24E-17,categorical,Not Applicable,No,MotiveMix - Environmentalism,Groups individuals into a low/medium/high scale of concern with and prioritization on environmental issues. High environmentalism is defined as believing the planet should be prioritized over the economy and being aware of how one's actions impact the environment," H - High 
 M - Medium 
 L - Low",,
DIMHCOMM,0.0009752,7.34E-10,categorical,Not Applicable,No,MotiveMix - Health Commitment,Groups individuals into a low/medium/high scale of how an individual is committed to maintaining their health," H - High 
 M - Medium 
 L - Low",,
DIMAA,0.000303731,0.000719482,categorical,Not Applicable,No,MotiveMix - Appearance Aspirations,"Groups individuals into a low/medium/high scale of valuing one's external appearance and maintaining it through style, fitness, and overall lifestyle"," H - High 
 M - Medium 
 L - Low",,
MB4G,0.008123901,4.84E-75,categorical,Positive,No,Mindbase 4.0 Group,Mindbase 4.0 identifies 11 major consumer groups according to their attitudes and motivation.,"See MindBase tab


",,
MTCHLVL,6.87E-05,0.050579165,categorical,Negative,No,Enhancement Match Level,Match Level as Returned by Enhancement,"0 - Non Match
1 - Includes street address, zip, full  name matching - including first name, middle initial, and surname
2 - Includes street address, zip, first name and surname match
3 - Includes street address, zip, first name initial, middle initial, and surname match
4 - Includes street address, zip, first name initial and surname match                           
5 - Includes street name, zip, first/last name matching
6 -Includes street numerics, zip, first/last name matching                                                                                                                                                                                                                                                                        7 - Uses street address, zip and surname matching",,
Client_First_Name,NA,NA,Other,NA,Yes,Client - First.Name,Client Provided Data,,,
Client_Middle,NA,NA,Other,NA,Yes,Client - Middle,Client Provided Data,,,
Client_Last_Name,NA,NA,Other,NA,Yes,Client - Last.Name,Client Provided Data,,,
Client_Suffix,-0.000114878,0.942521548,categorical,Not Applicable,Yes,Client - Suffix,Client Provided Data,,,
Client_Member_Name,NA,NA,Other,NA,Yes,Client - Member.Name,Client Provided Data,,,
Client_Address_Line_1,NA,NA,Other,NA,Yes,Client - Address.Line.1 ,Client Provided Data,,,
Client_Address_Line_2,NA,NA,Other,NA,Yes,Client - Address.Line.2,Client Provided Data,,,
Client_City_Name,NA,NA,Other,NA,Yes,Client - City.Name,Client Provided Data,,,
Client_State_Postal_Code,0.025394806,3.37E-200,categorical,Not Applicable,Yes,Client - State.Postal.Code,Client Provided Data,,,
Client_Zip_Code,0.005917764,3.67E-55,numeric,Negative,Yes,Client - Zip.Code,Client Provided Data,,,
Client_Phone_Number,0.01330038,1.57E-119,numeric,Positive,Yes,Client - Phone.Number,Client Provided Data,,,
Client_Birth_Date,NA,NA,Other,NA,Yes,Client - Birth.Date,Client Provided Data,,,
NPID,NA,NA,Other,NA,Yes,,,,,
Contract,0.014641964,1.32E-131,categorical,Not Applicable,No,,,,,
PBP.ID,0.006481779,3.05E-60,categorical,Negative,Yes,,,,,
